;text;cl_n;predict_cl
2032;категорический против кредитования;отказ категорический;отказ категорический
2033;есть у нас счет;счет есть;счет есть
2034;сотрудничество с другим банком;др банк;др банк
2035;находится в стадии ликыидации;ликвидация;ликвидация
2036;у клиента нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2037;организация ликввидирована;ликвидация;ликвидация
2038;наш банк не рассматривают;не лоялен ;не лоялен 
2039;проведены переговоры категорический отказ;отказ категорический;отказ категорический
2040;к сбербанку негатив;не лоялен ;не лоялен 
2041;счёт открыт;счет есть;счет есть
2042;наш счет дополнительный;счет есть сб;счет есть сб
2043;пока деятельность не ведет; не ведет деятельность; не ведет деятельность
2044;неинтересно нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2045;работает в др банке;др банк;др банк
2046;устраивают тарифы др банка;др банк;др банк
2047;не актуальная задача;дубль;дубль
2048;прекращают деятельность; не ведет деятельность; не ведет деятельность
2049;не берет мобильный;не ответили;не ответили
2050;продукт есть клиент пользуется;счет есть;счет есть
2051;контакты не актуальны;нет контактов;нет контактов
2052;имеется действующий р с;счет есть;счет есть
2053;клиент закрыл р с; не ведет деятельность;счет закрыт
2054;клиент деятельность не ведет; не ведет деятельность; не ведет деятельность
2055;отказ от кредитования;отказ;отказ
2056;второй счет не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
2057;данных не найдено;нет контактов;нет контактов
2058;клиента не устраивают условия;др банк;условия
2059;не берет трубку;не ответили;не ответили
2060;открыт счет в сбербаенке;счет есть сб;счет есть сб
2061;обслуживаются в втб;др банк;др банк
2062;счет открыт в январе;счет есть;счет есть
2063;в др банке;др банк;др банк
2064;нет необходимости менять банк;др банк;др банк
2065;отказ уточнили нет контактов;нет контактов;нет контактов
2066;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2067;высокин тарифы;дорогие тарифы;дорогие тарифы
2068;ликвидация в году;ликвидация;ликвидация
2069;счет закрыт;др банк;счет закрыт
2070;клиент закрыл деятельность; не ведет деятельность; не ведет деятельность
2071;тарифы;дорогие тарифы;дорогие тарифы
2072;ип закрыто; не ведет деятельность; не ведет деятельность
2073;бюждет;казн. + бюджет;казн. + бюджет
2074;отсутствие контактных данных;нет контактов;нет контактов
2075;комиссия;дорогие тарифы;дорогие тарифы
2076;не выгодно;дорогие тарифы;дорогие тарифы
2077;счет закрыли сотрудничать отказываются;счет закрыт;счет закрыт
2078;не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
2079;не устраивает цена дорого;дорогие тарифы;дорогие тарифы
2080;компания на стации ликвидации;ликвидация;ликвидация
2081;работают с др банком;др банк;др банк
2082;не нужно клиенту;не нужен\не может\не хочет;не нужен\не может\не хочет
2083;счет открыт в августе;счет есть;счет есть
2084;сотрудничество не актуально;др банк;др банк
2085;счет открыт в спб;др банк;др банк
2086;не работают со сбербанком;не лоялен ;счет есть сб
2087;уже открыт расчетный счет;счет есть;счет есть
2088;счет в сбербанке открыт;счет есть сб;счет есть сб
2089;не берет трубку;не разговаривают;не ответили
2090;деятельность не осущ ся; не ведет деятельность; не ведет деятельность
2091;в ижкомбанке счет бесплатный;дорогие тарифы;дорогие тарифы
2092;сейчас открытие счета неинтересует;не нужен\не может\не хочет;не нужен\не может\не хочет
2093;авангард все уст т;др банк;др банк
2094;псб ведем переговоры;выполнено;выполнено
2095;стоимость рко высокая;дорогие тарифы;дорогие тарифы
2096;не интересует данное предложение;не нужен\не может\не хочет;не нужен\не может\не хочет
2097;переход не интересует;др банк;др банк
2098;клиент не кредитуется;отказ;отказ
2099;клиент ликвидирует компанию;ликвидация;ликвидация
2100;ок пока все устраивает;др банк;др банк
2101;деятельность не функционирует; не ведет деятельность; не ведет деятельность
2102;организация прекратила деятельность; не ведет деятельность; не ведет деятельность
2103;нет потребнгости;не нужен\не может\не хочет;не нужен\не может\не хочет
2104;не могу открывать счета;не нужен\не может\не хочет;не нужен\не может\не хочет
2105;нет потребости;не нужен\не может\не хочет;не нужен\не может\не хочет
2106;не будет только закрыл;счет закрыт;счет закрыт
2107;ок дорого;дорогие тарифы;дорогие тарифы
2108;не было руководителя;нет на месте;нет на месте
2109;работают через казночейство;казн. + бюджет;казн. + бюджет
2110;не интересно нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2111;счет закрыла и бизнес;счет закрыт; не ведет деятельность
2112;нет необходмости;др банк;др банк
2113;клиент отказался от предложения;отказ;отказ
2114;бизнес не ведется; не ведет деятельность; не ведет деятельность
2115;ничего не интересно;не нужен\не может\не хочет;не нужен\не может\не хочет
2116;не лоялен к сб;не лоялен ;не лоялен 
2117;сотрудничает с иностранными банками;др банк;др банк
2118;не мой сегмент;сегмент;сегмент
2119;не мой функционал;км;км
2120;перезакрепление км;км;км
2121;не ответили;не ответили;не ответили
2122;не интересно предложение;счет есть;не нужен\не может\не хочет
2123;нет потребнорсти;не нужен\не может\не хочет;не нужен\не может\не хочет
2124;бюджет счет;не нужен\не может\не хочет;казн. + бюджет
2125;не отвечает;не ответили;не ответили
2126;закрыл рко качество услуг;условия;условия
2127;не продан нет потреб;не нужен\не может\не хочет;не нужен\не может\не хочет
2128;не работает юр лицо; не ведет деятельность; не ведет деятельность
2129;подумают над нашим предложением;думает;думает
2130;в кредитовании потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
2131;не связалась с клиентами;не разговаривают;не разговаривают
2132;действующее рко в сб;счет есть сб;счет есть сб
2133;контактов нет;нет контактов;нет контактов
2134;продукт уже есть;счет есть;счет есть
2135;нет актуальных котактных данных;нет контактов;нет контактов
2136;считает что обслуживание дорогое;дорогие тарифы;дорогие тарифы
2137;счет открыт в уфк;казн. + бюджет;казн. + бюджет
2138;россельхоз давно работают;др банк;др банк
2139;уустраивает свой банк;др банк;др банк
2140;от нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2141;не соответсвует требованиям;не соответсвует требованиям;не соответсвует требованиям
2142;клиент обещал подумать;думает;думает
2143;дубль;дубль;дубль
2144;счет открывать не хочет;не нужен\не может\не хочет;не нужен\не может\не хочет
2145;нет телефона для связи;нет контактов;нет контактов
2146;пока все есть;счет есть;счет есть
2147;не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
2148;компания продана;реорганизация;реорганизация
2149;не соответствует требованиям;не соответсвует требованиям;не соответсвует требованиям
2150;отказ заинтересованности не выявлено;отказ;отказ
2151;счета есть;счет есть;счет есть
2152;обслуживаются в уфк;казн. + бюджет;казн. + бюджет
2153;отказ закрывают ип; не ведет деятельность; не ведет деятельность
2154;приостановил деятельность; не ведет деятельность; не ведет деятельность
2155;нет необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
2156;не дозвонились;не ответили;не ответили
2157;не планируют смену банка;не нужен\не может\не хочет;др банк
2158;потребности нетв обслуживании;не нужен\не может\не хочет;не нужен\не может\не хочет
2159;не актуальные данные;не нужен\не может\не хочет;не нужен\не может\не хочет
2160;нет поребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2161;нет номера;нет контактов;нет контактов
2162;не сотрудничают со сбербанком;не лоялен ;не лоялен 
2163;отказ клиент погиб;мусор;мусор
2164;не удобный ссбол;условия;условия
2165;отказ без объяснения причин;отказ;отказ
2166;не юберут трубку;не ответили;не ответили
2167;отказ причины пояснить отказался;отказ;отказ
2168;условия рко не устраивают;условия;условия
2169;нет реальных контактов;нет контактов;нет контактов
2170;отказ нет потребност;отказ;отказ
2171;не является самостояельной организацией;голов. комп;голов. комп
2172;не являются самост организацией;голов. комп;голов. комп
2173;абб;др банк;др банк
2174;предложение другого продукта;надежда есть;надежда есть
2175;организация деятельность не ведет; не ведет деятельность; не ведет деятельность
2176;отказ пока потребности нет;отказ;отказ
2177;телефон клиента не доступен;не ответили;не нужен\не может\не хочет
2178;не хочет переходить;не нужен\не может\не хочет;не нужен\не может\не хочет
2179;росбанком;др банк;др банк
2180;не хочет;не нужен\не может\не хочет;не нужен\не может\не хочет
2181;не хотят все есть;не нужен\не может\не хочет;не нужен\не может\не хочет
2182;счет клиента открыт;счет есть;счет есть
2183;неверные крнтактные данные;нет контактов;нет контактов
2184;отказ стоимость обслуживания дорогая;отказ;отказ
2185;банкрот;банкротство;банкротство
2186;в кредитование нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2187;нет заинтересован в сотрудн;отказ;отказ
2188;дорогое рко подумает;думает;думает
2189;недоступен;нет контактов;не ответили
2190;непонятнка суть задачи;км;км
2191;ликвидировано егрюл;ликвидация;ликвидация
2192;получен отказ клиента;отказ;отказ
2193;отказ организация реорганизованна;реорганизация;реорганизация
2194;клиент категорически отказался;отказ категорический;отказ категорический
2195;приостановления деятельности компании; не ведет деятельность; не ведет деятельность
2196;прекращают деятельность; не ведет деятельность; не ведет деятельность
2197;клиент планирует закрывать счет;планируют закрывать счет;планируют закрывать счет
2198;несколько банков;др банк;др банк
2199;предложение клиенту не интересно;отказ;не нужен\не может\не хочет
2200;встречу перенесли;надежда есть;надежда есть
2201;уже обслуживается в сбербанке;счет есть сб;счет есть сб
2202;отказ клиента;отказ;отказ
2203;не работают по факторингу;не нужен\не может\не хочет;не нужен\не может\не хочет
2204;не нужен валютный счет;не нужен\не может\не хочет;не нужен\не может\не хочет
2205;нет внебюджетных фондов;казн. + бюджет;казн. + бюджет
2206;проведены переговоры нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2207;отказ клиента нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2208;все счета открыты;счет есть;счет есть
2209;клиента устраивает действующий тариф;др банк;др банк
2210;подумает назначить звонок на;думает;думает
2211;работают давно переходить нехотят;др банк;др банк
2212;устраивают условия обслуживающего банка;др банк;др банк
2213;отказ клиента дорого;дорогие тарифы;дорогие тарифы
2214;нет необходимости в рсч;не нужен\не может\не хочет;не нужен\не может\не хочет
2215;деятельность не ведет; не ведет деятельность; не ведет деятельность
2216;ок не устраивают тарифы;дорогие тарифы;дорогие тарифы
2217;не хочет;не нужен\не может\не хочет;не нужен\не может\не хочет
2218;отказ нет потребности;др банк;не нужен\не может\не хочет
2219;обслуживаются через уфк;казн. + бюджет;казн. + бюджет
2220;категорический отказ;отказ категорический;отказ категорический
2221;не пользуются кредитами;отказ;отказ
2222;действующий ссчет в сб;счет есть сб;счет есть сб
2223;отказ счет не нужен;отказ;отказ
2224;клиент прекратил деятельность; не ведет деятельность; не ведет деятельность
2225;обслуживаются в г екатеринбург;др банк;др банк
2226;сотрудничают с нейва банк;др банк;др банк
2227;работает с пао минб;др банк;др банк
2228;имеется действующий р с;счет есть;счет есть
2229;неактуально деятельность не ведет; не ведет деятельность; не ведет деятельность
2230;клиент закрыл ип; не ведет деятельность; не ведет деятельность
2231;продукт рко есть;счет есть;счет есть
2232;компания закрыта; не ведет деятельность; не ведет деятельность
2233;км марченко;км;км
2234;не устраивают наши тарифы;дорогие тарифы;дорогие тарифы
2235;нет деят ти; не ведет деятельность; не ведет деятельность
2236;нет деятельности; не ведет деятельность; не ведет деятельность
2237;планируется реорганизация;реорганизация;реорганизация
2238;нет деятельности; не ведет деятельность; не ведет деятельность
2239;не устраивает цена рко;дорогие тарифы;дорогие тарифы
2240;сотрудничает с др банком;др банк;др банк
2241;нет желания менять банк;др банк;др банк
2242;нет заинтересованности;не нужен\не может\не хочет;не нужен\не может\не хочет
2243;отказ нет потребности;др банк;не нужен\не может\не хочет
2244;нет заинтересованности в предложениях;не нужен\не может\не хочет;не нужен\не может\не хочет
2245;ликвидирована организация;ликвидация;ликвидация
2246;у клиента инициировано банкротство;банкротство;банкротство
2247;нет заинтересованности в продуктах;не нужен\не может\не хочет;не нужен\не может\не хочет
2248;категорический отказ от встречи;отказ категорический;отказ категорический
2249;предприятие в стадии ликвидации;ликвидация;ликвидация
2250;нет на месте;нет на месте;нет на месте
2251;получли консультацию подумают перезвонит;думает;думает
2252;клиент закрыл счет;счет закрыт;счет закрыт
2253;отказ клиент сбрасывает;не разговаривают;не разговаривают
2254;ок рко в рсхб;др банк;др банк
2255;смену банка не планирует;не нужен\не может\не хочет;др банк
2256;нет оф сотруднкиов;не нужен\не может\не хочет;не нужен\не может\не хочет
2257;нет свободных дс;не соответсвует требованиям;не соответсвует требованиям
2258;не хотят;не нужен\не может\не хочет;не нужен\не может\не хочет
2259;счет закрыл;счет закрыт;счет закрыт
2260;имеется действующий р с;счет есть;счет есть
2261;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2262;клиент умер;мусор;мусор
2263;ликвидирвоана;ликвидация;ликвидация
2264;счет открыт клиент работает;счет есть;счет есть
2265;негативно отнош к сбербанку;не лоялен ;не лоялен 
2266;км еремеева н;км;км
2267;предприятие ликвидировано;ликвидация;ликвидация
2268;дамир кредитование не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
2269;в текущем банке дешевле;дорогие тарифы;дорогие тарифы
2270;привл рко потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
2271;нет свободных средств;не соответсвует требованиям;не соответсвует требованиям
2272;нет связи;нет контактов;нет контактов
2273;клиент обслуживается в росбанке;др банк;др банк
2274;не устр параметры;условия;условия
2275;счет уже открыт;счет есть;счет есть
2276;ликвидирована банкротство;ликвидация;ликвидация
2277;клиент проинформирован;выполнено;выполнено
2278;нет связи с клиентом;нет контактов;нет контактов
2279;ок данная организация ликвидирована;ликвидация;ликвидация
2280;нет средств;не соответсвует требованиям;не соответсвует требованиям
2281;нет счетов потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
2282;не лоялен к банку;не лоялен ;не лоялен 
2283;откз организация закрыта; не ведет деятельность; не ведет деятельность
2284;нет стабильного бюджета;небольшие обороты;небольшие обороты
2285;деятельность экв не требует; не ведет деятельность; не ведет деятельность
2286;неинтересует;не нужен\не может\не хочет;не нужен\не может\не хочет
2287;отказ от сотрудничества;не разговаривают;отказ
2288;открыли р с;счет есть;счет есть
2289;открыли уже счет клиенту;счет есть;счет есть
2290;номер не отвечает;не ответили;не ответили
2291;отказ не лояльна;не лоялен ;не лоялен 
2292;рко открыла;счет есть;счет есть
2293;смену банка не планируют;др банк;др банк
2294;счет открыт закрыт;счет закрыт;счет закрыт
2295;организация продана не работает; не ведет деятельность; не ведет деятельность
2296;нет необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
2297;неудобно территориально;территориально;территориально
2298;отказ не устраивают тарифы;дорогие тарифы;дорогие тарифы
2299;потребности в кредитовании нет;не нужен\не может\не хочет;не нужен\не может\не хочет
2300;не лоялен к банку;не лоялен ;не лоялен 
2301;установлен контакт ип закрыл; не ведет деятельность; не ведет деятельность
2302;ип ликвидировано в году;ликвидация;ликвидация
2303;дорогое рко для клиента;дорогие тарифы;дорогие тарифы
2304;нет потребносьти;не нужен\не может\не хочет;не нужен\не может\не хочет
2305;нецелесообразно;дорогие тарифы;дорогие тарифы
2306;в балтийском банке дешевле;дорогие тарифы;дорогие тарифы
2307;компания баштальк прекратила деятельность; не ведет деятельность; не ведет деятельность
2308;отказ ликвидация деятельности;ликвидация;ликвидация
2309;есть открытие транзитный счет;счет есть;счет есть
2310;контактные данные не актуальны;нет контактов;нет контактов
2311;счет открыт в г;счет есть;счет есть
2312;вэд пока не ведут;пока;не нужен\не может\не хочет
2313;не устроили тарифы;дорогие тарифы;дорогие тарифы
2314;николай викторович;мусор;мусор
2315;клиент отказался;отказ;отказ
2316;отказ от встречи;отказ;отказ
2317;является клиентом нашего банка;счет есть сб;счет есть сб
2318;клиент от встречиотказался;отказ;отказ
2319;рсхб кредит;др банк;др банк
2320;счет открыт в втб;др банк;др банк
2321;не устраивает обслуживание;территориально;условия
2322;никто не берет;не ответили;не ответили
2323;отказ решение ноао камаз;отказ;отказ
2324;ности достаточно собст средств;собст ср;собст ср
2325;потребности нет ип закрывает;не нужен\не может\не хочет; не ведет деятельность
2326;организация прекратила деятельность; не ведет деятельность; не ведет деятельность
2327;ип ликвидировано;ликвидация;ликвидация
2328;деятельность остановлена; не ведет деятельность; не ведет деятельность
2329;не актуально для клиента;не нужен\не может\не хочет;не нужен\не может\не хочет
2330;нравится в уралсибе;др банк;др банк
2331;нет свободных ден средств;не соответсвует требованиям;не соответсвует требованиям
2332;деятельность по организации приостановлена; не ведет деятельность; не ведет деятельность
2333;д ть прекращена; не ведет деятельность; не ведет деятельность
2334;обнал закрыт по заявлению;ошибка выборки;ошибка выборки
2335;клиента полностью устраивает банк;др банк;др банк
2336;закрывают счет негатив комплаенс;ошибка выборки;ошибка выборки
2337;работает с пао челябинвестбанк;др банк;др банк
2338;оборот менее т р;небольшие обороты;небольшие обороты
2339;в кредитовании не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
2340;убрир обслуживание расчетного счета;др банк;др банк
2341;оборотов по счету много;надежда есть;надежда есть
2342;открыли;счет есть;счет есть
2343;ргс у нас дорого;дорогие тарифы;дорогие тарифы
2344;обороты переведены в россельхозбанк;др банк;др банк
2345;дорого;дорогие тарифы;дорогие тарифы
2346;обратится к нам позже;надежда есть;надежда есть
2347;счет открыт;счет есть;счет есть
2348;открыл счет в банке;счет есть;счет есть
2349;при необходимости обратится;не нужен\не может\не хочет;не нужен\не может\не хочет
2350;сотр с др банком;др банк;др банк
2351;ца привлкц нет потребности;отказ;отказ
2352;не актуально для ввб;не нужен\не может\не хочет;не нужен\не может\не хочет
2353;бросил трубку перезвонить г;не разговаривают;не разговаривают
2354;обратиться в конце января;надежда есть;надежда есть
2355;контакт стал не действительным;нет контактов;нет контактов
2356;рко в нашем банке;счет есть сб;счет есть сб
2357;ранее отработал задачу;дубль;дубль
2358;ничего не нужно;отказ;не нужен\не может\не хочет
2359;ип не ведет деятельность; не ведет деятельность; не ведет деятельность
2360;счет закрыт бизнес ликвидирован;ликвидация;ликвидация
2361;счет открыт закрыт;счет закрыт;счет закрыт
2362;уже работают со сбербанком;счет есть сб;счет есть сб
2363;обсл сторонний ком банк;др банк;др банк
2364;клиент находится на просрочки;не соответсвует требованиям;не соответсвует требованиям
2365;предприятие ликвидировано данные спарк;ликвидация;ликвидация
2366;ликвидация;ликвидация;ликвидация
2367;клиент на грани банкротства;банкротство;банкротство
2368;обслуж в альфа банке;др банк;др банк
2369;есть счет в казначействе;казн. + бюджет;казн. + бюджет
2370;проведены переговоры потребность отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
2371;р отказ от сотрудничества;др банк;отказ
2372;не клиент ксб;не нужен\не может\не хочет;не нужен\не может\не хочет
2373;организация не кредитуется;отказ;отказ
2374;ошибка выборки;дубль;дубль
2375;руководитель сменился контактов нет;нет контактов;нет контактов
2376;казначействе счет;казн. + бюджет;казн. + бюджет
2377;обслуж в бинбанке;др банк;др банк
2378;клиенту средства не требуются;не нужен\не может\не хочет;не нужен\не может\не хочет
2379;обслуж в уфк;казн. + бюджет;казн. + бюджет
2380;клиент в черной зоне;черная зона;черная зона
2381;имеется действующий р с;счет есть;счет есть
2382;обслуж ся в ркц;др банк;др банк
2383;клиент категорически отказывается встретиться;отказ категорический;отказ категорический
2384;обслуживаются в россельхозбанке;др банк;др банк
2385;обслуживается в crm;др банк;др банк
2386;ип на стадии закрытия; не ведет деятельность; не ведет деятельность
2387;нет потребности в продуктах;не нужен\не может\не хочет;не нужен\не может\не хочет
2388;не устраивают тарифные планы;дорогие тарифы;дорогие тарифы
2389;дорогое рко;дорогие тарифы;дорогие тарифы
2390;клиент отказывается;отказ;отказ
2391;бюджетная организация нецелесообразно;казн. + бюджет;казн. + бюджет
2392;имеют счет в казначействе;казн. + бюджет;казн. + бюджет
2393;гл бух ирина васильевна;мусор;мусор
2394;олег не планирует кредитование;отказ;отказ
2395;не подходят условия обслуживания;условия;условия
2396;устраивают условия левобережного банка;др банк;др банк
2397;обслуживается в альфабанке;др банк;др банк
2398;устраивают текущие условия;др банк;др банк
2399;устраивают имеющиеся условия;др банк;др банк
2400;обслуживается в другом банке;др банк;др банк
2401;заемные средства не используют;не нужен\не может\не хочет;не нужен\не может\не хочет
2402;р счет есть;счет есть;счет есть
2403;не заинтересована;не нужен\не может\не хочет;не нужен\не может\не хочет
2404;обслуживается в другом городе;др банк;др банк
2405;обслуживается в стороннем банке;др банк;др банк
2406;с клиентом ведутся переговоры;выполнено;выполнено
2407;счет есть не позуется;счет есть;счет есть
2408;дубль потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
2409;обслуживается в уфк;казн. + бюджет;казн. + бюджет
2410;категоричный отказ;отказ категорический;отказ категорический
2411;отказ для них дорого;дорогие тарифы;дорогие тарифы
2412;обслуживается ч з;др банк;др банк
2413;не интересно не заинтересовало;не нужен\не может\не хочет;не нужен\не может\не хочет
2414;не хотят менять банк;др банк;др банк
2415;деятельность приостановлеа; не ведет деятельность; не ведет деятельность
2416;организация бюджетная отказ;отказ;отказ
2417;обращался отказали;отказ;отказ
2418;обслуживаеются в уралсиб банке;др банк;др банк
2419;просчитали у нас дороже;дорогие тарифы;дорогие тарифы
2420;рс открыт в августе;счет есть;счет есть
2421;обслуживание в втб;др банк;др банк
2422;отказ работы со сбербанком;не лоялен ;не лоялен 
2423;с актив банком;др банк;др банк
2424;уже естиь;счет есть;счет есть
2425;отказ нет потреб;отказ;отказ
2426;клиент другого региона;территориально;территориально
2427;обслуживание в другом банке;др банк;др банк
2428;у лиента нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2429;есть зарплатная карта;счет есть;счет есть
2430;не интересует открытие;не нужен\не может\не хочет;не нужен\не может\не хочет
2431;обслуживание в ркц;др банк;др банк
2432;работает в рсхб;др банк;др банк
2433;отказ все устраивает;др банк;др банк
2434;клиент работает с втб;др банк;др банк
2435;обслуживание в уфк;казн. + бюджет;казн. + бюджет
2436;закрывает ип нет потребности; не ведет деятельность; не ведет деятельность
2437;клиенту ничего не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
2438;деятельность ип закрыта; не ведет деятельность; не ведет деятельность
2439;клиента не интересует кредитование;не нужен\не может\не хочет;не нужен\не может\не хочет
2440;контакты отсутствует;нет контактов;нет контактов
2441;отказ клиента от встречи;отказ;отказ
2442;обслуживание вятка банка;др банк;др банк
2443;обслуживаюся в другом банке;др банк;др банк
2444;отказ не хотят слышать;не разговаривают;не разговаривают
2445;валютный счет уже есть;счет есть;счет есть
2446;отказ нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2447;не удается дозвониться;не ответили;не ответили
2448;контактные данные не найдены;нет контактов;нет контактов
2449;не устраивает удаленность офиса;территориально;территориально
2450;не устраивют тарифы банка;дорогие тарифы;дорогие тарифы
2451;ликвидировано егрюл;ликвидация;ликвидация
2452;ликвидировано егрюл;ликвидация;ликвидация
2453;деятельность прекращена ип закрыто; не ведет деятельность; не ведет деятельность
2454;рс у клиента есть;счет есть;счет есть
2455;отказ от открытия рс;отказ;отказ
2456;нет контактных данных;нет контактов;нет контактов
2457;отказ;отказ;отказ
2458;нет потребности всё устраивает;не нужен\не может\не хочет;не нужен\не может\не хочет
2459;недозвон клиент не контактен;нет контактов;нет контактов
2460;высокие тарифы дистанционное обслуживание;дорогие тарифы;дорогие тарифы
2461;попросила больше не звонить;не разговаривают;не разговаривают
2462;отказ нет потркбности;отказ;отказ
2463;кредит в уралсибе;др банк;др банк
2464;дорого не устраивает;дорогие тарифы;дорогие тарифы
2465;трубку бросает потребности нет;не разговаривают;не разговаривают
2466;нет устраивает;не нужен\не может\не хочет;др банк
2467;организация обслуживается в сбербанке;счет есть сб;счет есть сб
2468;не хочет открывать счет;не нужен\не может\не хочет;не нужен\не может\не хочет
2469;откак не устраивают параметры;отказ;отказ
2470;сотрудничают с банком мегаполис;др банк;др банк
2471;счет открыт;счет есть;счет есть
2472;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
2473;рко есть;счет есть;счет есть
