;text;result;predict_cl
10790;деятельность приостановлена р сч не нужен;отказ нет потребности; не ведет деятельность
10791;работают с вбрр и ку переговоры с бухгалтером иванной рук ль ирина борисовна в командировке назначен повторный звонок на январь по номеру;отказ сотруднич с др банком;звонок
10792;неоднократно вели беседы на перевод к нам не хотят переводить обороты причин не комментируют;отказ нет потребности;не нужен\не может\не хочет
10793;рко в плюс банке ранее направляла клиену кп ознакомились переходить пока не будут;отказ сотруднич с др банком;отказ
10794;юзб привлргс переговоры звонок г рук алексей григ рко в крайинвест з п выплачивают через кассу переход в пао сбербанк не возможен т к трудное фин состояние клиента;отказ сотруднич с др банком;др банк
10795;работает в зскб и сб рф отказ;отказ нет потребности;счет есть сб
10796;клиент давно обслуживается в уралсибе не хочет менять банк т к все процессы налажены и тарифы устраивают со сбербанком хорошее отноншение у супруга счет открыт у нас;отказ нет потребности;др банк
10797;условия открытия счета с клиентом обговорили на встречу подойти не может маленький ребёнок елена вячеславовна давно сотрудничает с уралсибом только счет тэ услуга сб в открытие счета в сб нет потребности в кредитах не нуждается;отказ нет потребности;не нужен\не может\не хочет
10798;получен отказ сотрудничает с др ком банком все устраивает возможно обратиться за кредитом имеется опыт работы по кредитованию был собран большой пакет документов но получен отказ банка;отказ нет потребности;др банк
10799;отказ давно обслуживается в вбрр банке смену не планирует кредитование не планирует;отказ нет потребности;отказ
10800;переговоры с директором р сч открыт в уралсибе от сбербанка отказ от зп отказ доп точек эквайринг не требуется от кредита отказ и планов пока на год нет лизинг не интересен еще имеет ип тиунов;отказ нет потребности;отказ
10801;переходить в сб не надумал все останется также кредитование сейчас не интересует к тому же считает ставки высокими предлоржен лизинг тоже отказ бг не польуется;отказ нет потребности;дорогие тарифы
10802;проведены переговоры с клиентом потребности в рко нет рассматривала переход в сб с учетом уменьшения ставки по тэ ижкомбанк снизил тарифы не устраивает стоимость рко в сб;отказ не устр цена продукта;дорогие тарифы
10803;не устраивает ценовая политика работает с банком открытие;отказ не устр цена продукта;дорогие тарифы
10804;клиент находится на обслуживании в другом банке и переходить на обслуживание в сб не планирует обсуждать условия отказался;отказ не лоялен к банку;др банк
10805;обслуживаются в промсвязьбанке банк менять не хотят;отказ не устр параметры;др банк
10806;работают с втб там же кредитуются под более высокий процент ушли со сбербанка после отказа по кредиту больше никакие предложения не принимают;отказ нет потребности;др банк
10807;отказ от встречи отказался называть обслуживающий банк не устраивают наши комиссия по кредитным и некредитным продуктам дорго;отказ не устр цена продукта;отказ
10808;клиент обслуживается в отпбанке у фирмы несколько бухгалтеров оба не имееют никакого желания уходить из отп;отказ нет потребности;др банк
10809;клиент обслуживается в вологдабанке уходить категорически отказывается;отказ не устр параметры;др банк
10810;отказ клиента неоднократно разгоываривали обслуживаются в сгб переходить не будут;отказ не устр параметры;отказ
10811;клиент не хочет открывать р с в банке;отказ нет потребности;не нужен\не может\не хочет
10812;клиент близко общается с ип и ооо группой клиентов которые у нас кредитуются и из за высокой цены обслуживания у нас счета не имеют и закрывают даже после кредитования обслуживаются в убрир переходить в сбербанк не будут магазин сантехники пробуют у нас кредитоваться долго предоставляют документы;отказ нет потребности;дорогие тарифы
10813;переговоры с гл бух аидой александровной с ее слов потребности в рко и кредитовании нет обслуживаются в инвесткапиталбанке пока все устраивает;отказ нет потребности;др банк
10814;нет потребности в рко сбербанка устраивает свой банк;отказ нет потребности;не нужен\не может\не хочет
10815;р с счет в убрир обслуживание в месяц руб уже неоднократно предлагалось перейти на обслуживание в сбербанк но стоимость вполне устраивает в своем банке;отказ не устр параметры;др банк
10816;нет потребности не устраивают тарифы по рко;отказ нет потребности;дорогие тарифы
10817;рко в скб банке р эквайринг в сб менять обслуживающий банк отказались оптимизация расходов кредитованием не пользуются достаточно собственных средств;отказ нет потребности;отказ
10818;счет открыт в нашем банке на компанию из кг ооо тд инструмент сервис работают по токену но сложности с формированием ключей пока не готов открывать счет т к есть сложности с другим счетом;отказ нет потребности;счет есть сб
10819;предприятие убыточно нет готовности к открытию счетов к готовятся к ликвидации;отказ сотруднич с др банком;ликвидация
10820;переговоры проведены с руководителем на данный момент интерес в рко в сбербанке отсуствует оставлены координаты если будет необходимость обратится;отказ нет потребности;надежда есть
10821;клиент обслуживается в втб и его все устраивает;отказ сотруднич с др банком;др банк
10822;все устраивает в ком банке и обслуживание дешевле;отказ сотруднич с др банком;др банк
10823;руководитель захаров леонид николаевич клиент открыл р с в всп;отказ нет потребности;нет на месте
10824;предлагал сергею владимировичу перейти к нам но не называя причин тактично отказывает ранее говорил что дорого у нас может в этом и дело;отказ нет потребности;дорогие тарифы
10825;клиент и так переводит обороты в сбербанк;отказ нет потребности;реорганизация
10826;открыт р с в хмб условия устраивают;отказ нет потребности;др банк
10827;продукт уже есть продукт не интересен;отказ продукт уже есть;счет есть
10828;на данный момент нет заинтересованности в продуктах банка свяжется при необходимости;отказ продукт уже есть;не нужен\не может\не хочет
10829;клиент не заинтересован в открытии нового р с;отказ нет потребности;не нужен\не может\не хочет
10830;орг работает в др банке не кредитуется в тендере уч последний раз в году заемные средства не интересуют по зпп инф не дали;отказ нет потребности;не нужен\не может\не хочет
10831;нет потребности в откр рс подумает на будущее;отказ нет потребности;думает
10832;кулагин юрий борисович обслуживается в мдм банке только рко везде условия одинаковые поэтому не будет переходить дополнительными продуктами банка не пользуются;отказ нет потребности;др банк
10833;не интересно предложение вежливый отказ без объяснения причин т;отказ нет потребности;отказ
10834;на ближайшую перспективу нет потребности в услугах;отказ продукт уже есть;не нужен\не может\не хочет
10835;гк по всей россии на данный момент не рассматривают сотрудничество;отказ нет потребности;пока
10836;рук ль нет необходимости вопрос решён;отказ нет потребности;не нужен\не может\не хочет
10837;клиент отказался от открытия р сч;отказ сотруднич с др банком;отказ
10838;отсутсвует потребность у клиента в открытии р с без кредитного продукта;отказ нет потребности;не нужен\не может\не хочет
10839;клиент отказался от открытия счета по акции;отказ нет потребности;отказ
10840;клиент не заинтересован в открытии счетов;отказ нет потребности;не нужен\не может\не хочет
10841;до главного бухгалтера доведена информация о проходящей акции о бесплатном открытии счета на адрес электронной почты направлены презентационные материалы с организацией заключен договор торгового эквайринга зачисления происходят на р с открытый в сгб по предложению получен отказ так как в сгб тарифы на обслуживание р с существенно ниже;отказ не устр параметры;отказ
10842;не хочет в наше банке дорого;отказ не устр параметры;дорогие тарифы
10843;у клиента уже есть расчетный счет в альфа банке в другие банки переходить не планирует устраивает альфа банк вопросов по иным продуктам нет;отказ сотруднич с др банком;др банк
10844;клиент открыл р с в втб не видит смысла переходить в другой банк если недавно открыл счет;отказ сотруднич с др банком;др банк
10845;направлены тарифы по рко работают с другим банком все устраивает по счету корме терминалов ничего не проходит платят р за перевод;отказ нет потребности;др банк
10846;плата за е жемесячное обслуживание и за перевод на личную карту;отказ не устр параметры;надежда есть
10847;рко в углеметбанке в сб дорого о проведении акции клиент уведомлен;отказ не устр параметры;дорогие тарифы
10848;клиента не устраивает пао сбербанк по м параметрам цена на рко и самостоятельная работа в сббол тогда как в др банке операционисты делают все платежи;отказ не устр параметры;др банк
10849;у клиента имеется продукт рко в нашем банке;отказ нет потребности;счет есть сб
10850;прекращение деят ти в кач ве ип в августе г;отказ нет потребности; не ведет деятельность
10851;клиент банкрот услуги банка не интересуют;отказ не устр параметры;банкротство
10852;нет действ зп договора в сбербанке рс открытвать повторно не планируют по спарку не сдавали отчетность года возможно ликвид;отказ нет потребности;не нужен\не может\не хочет
10853;направлено ком пред в др банке дешевле обслуживание;отказ сотруднич с др банком;др банк
10854;отказ работает с другим банком пока в сбербанк переходить не хочет не устраивают условия;отказ не устр параметры;др банк
10855;рко закрыто г высокие тарифы за рко;отказ не устр параметры;дорогие тарифы
10856;у клиента был счет в сбербанке пришлось закрыть т к отказали в кредите и открыть в втб т к там кредит одобрили id пр кредиты пр б втб б с с т т т т id пр р с основной пр б бтб б с с т т т т;отказ сотруднич с др банком;др банк
10857;нет продуктов бк деятельность временно приостановлена в связи с тяжолым фин положением;отказ нет потребности; не ведет деятельность
10858;обслуживается в банке кедр условия также устраивают;отказ сотруднич с др банком;др банк
10859;клиенту предложено бесплатное открытие расчетных счетов в рамках промо акции клиент работает с втб пока не готов менять банк;отказ сотруднич с др банком;др банк
10860;проведены переговоры по открытию расч счета получен отказ клиент планирует сохранить текущий объем сотрудничества эквайринг инкассация;отказ продукт уже есть;отказ
10861;поулчен отказ клиента по открытию счетов;отказ нет потребности;отказ
10862;р у предприятия нет свободных денежных средств на текущий момент;отказ нет потребности;не соответсвует требованиям
10863;эквайринг перевели в русский стандарт т к выгодней тариф остальная деятельность в альфа банке более гибко подходит к обслуживанию и требованиям менять не планируют;отказ сотруднич с др банком;дорогие тарифы
10864;отказ клиента нет офиса рко юл в чишмах;отказ не устр параметры;отказ
10865;счет клиента открыт в сб рф в году;отказ нет потребности;счет есть сб
10866;клиент не функционирует больше как юр лицо в банке имеется уведомление мри фнс о закрытии ип;отказ нет потребности; не ведет деятельность
10867;клиент открыл счет в нашем банке в начале августа;отказ нет потребности;счет есть сб
10868;клиент долгое время работает с райфайзенбанком полностью устраивает рко нет никакой внешнеэкономической деятельности клиент не рассматривает возможность кредитования отказ от сотрудничества разговор состоялся с бухгалтером сахсервиса;отказ сотруднич с др банком;отказ
10869;у клиента открыт расчетный счет внашем банке операции проходят;отказ нет потребности;счет есть
10870;пока нет потребности в новых документах;отказ нет потребности;не нужен\не может\не хочет
10871;номер не отвечает звонок совершен раза;отказ категорический отказ;не ответили
10872;открыли счет в др банке от встречи отказались;отказ сотруднич с др банком;отказ
10873;года с клиентом разговаривала ольга из сбербанка договорились на встречу на предложение подойти на профсоюзную отреагировал негативно сказал что нечего ему диктовать условия теперь он вообще думает о том стоит ли переходить в сбербанк;отказ категорический отказ;не лоялен 
10874;счёт уже открыли обращались в отделения условия нашего рко не интересны;отказ не устр цена продукта;счет есть
10875;в сб есть р с по организации ооо кафе ин кафе это ооо связ и обслуживается в банке урасиб так как считают что счета должны быть в разных с ооо кафе ин кафе банках сотрудничество со сб не рассматривают;отказ нет потребности;др банк
10876;клиент не планирует переводить свои обороты а сбербанк так как клиента не устраивает работа сббол и стоимость рко;отказ не устр параметры;дорогие тарифы
10877;клиент отказался устраивает банк в котором обслуживается сейчас;отказ нет потребности;др банк
10878;клиент находится на комплексном обслуживании в уралсибе;отказ нет потребности;счет есть сб
10879;менять свой банк не планируют все устраивает в своем банке;отказ нет потребности;др банк
10880;отказ клиент не рассматривает предложение так как ведет счет в другом банке;отказ нет потребности;отказ
10881;не раз делали предложение по переходу на рко в сбербанк категорически устраивает свой банк терминалом с удовольствием пользуется расторгать договор эквайринга будет если поставят перед фактом только рко;отказ нет потребности;не нужен\не может\не хочет
10882;отказ рко нет потребности в продукте;отказ нет потребности;не нужен\не может\не хочет
10883;отказ втб условия не знате но сравнивал когда приходл на встречу что у нас обслуживание дороже пока переходить не будет;отказ нет потребности;др банк
10884;счет открыт в псб клиента неоднократно пытались перевести к нам в банк отказывается привыкла работать с банком все устраивает менять что то не планирует обороты указаны по терминалу id пр р с основной пр б томскпромстройбанк б с с т т т т;отказ нет потребности;др банк
10885;отказ клиент находитсья на обслуживание в алтайкапиталбанке негативно настроин к сбербанку установлены только терминалы сб;отказ не лоялен к банку;не лоялен 
10886;счет открыт в углеметбанке тарифы сб не устраивают;отказ не устр параметры;дорогие тарифы
10887;уже установлен терминал альфа банка с самого рождения компании менять не будут ничего;отказ сотруднич с др банком;отказ
10888;ок нет потребности счета открыты на ип в других банках;отказ сотруднич с др банком;не нужен\не может\не хочет
10889;с клиентом проведены переговоры обслуживается в фк открытие в даноом банке клиента устраивают тарифы за обслуживание переводить обороты в сбербанк не будет;отказ нет потребности;дорогие тарифы
10890;обслуживаются в другом банке тамм дешевле в каком говорить не хотят условия сбербанка знают нет пбк;отказ нет потребности;не нужен\не может\не хочет
10891;клиент с петровск забайкальского сказал что в сбербанк переходить никогда не будет не нравится обслуживание клиент приглашен на встречу как будет в чите сказал что в чите не бывает поэтому сказал что можете и не ждать инкассируется через росинкасс когда то получил консультацию что при инкассации в росинкссе нельзя обслуживаться в сбербанке;отказ нет потребности;не нужен\не может\не хочет
10892;р сч открыт в уралсибе тарифы устраивают дешевле в раза чем в сб;отказ не устр параметры;дорогие тарифы
10893;проведена беседа с клиентом сказал что категоричести переводится не будет т к есть вкл ооо г иркутска конечный бенифецар который обслуживается в втб при смене банка ооо сота чита учредитель ооо г иркутска теряет преимущества в банке втб;отказ нет потребности;др банк
10894;отказ рко не будут открывать счет устраивает свой банк;отказ нет потребности;отказ
10895;осн деят оказ услуг по элек монтажу для юр лиц экв не рассматривают;отказ нет потребности; не ведет деятельность
10896;томск нет пропуска клиент входит в группу ип вечкутова ирина борисовна клиент удо деят ть ведут в томске от встречи в северске отказ контактные данные переданы км;отказ не устр параметры; не ведет деятельность
10897;сообщения о принятии решения о реорганизации вестник государственной регистрации;отказ нет потребности;реорганизация
10898;в данный момент предложения по факторингу не интересны клиент работает своими средствами но возможно на кв;отказ треб продукт отсут ет;не нужен\не может\не хочет
10899;разговор с рустамом расчетный счет в уралсибе слождились доверительные отношенения с банком не готов перейти в другой банк на обслуж;отказ нет потребности;др банк
10900;выполнено при реорганизации оао меткомбанк закрытие до в г кушва клиент выбирал обслуживающий банк обращался за консультацией по открытию и обслуживанию счета по итогам переговоров выяснилось что тарифы предложенные банками конкурентами представленными на территории г кушва значительно ниже поэтому ип принял решение что открывать расчетный счет в пао сбербанк россии не следует;отказ не устр параметры;др банк
10901;нет потребности к продуктам банка на данный момент;отказ нет потребности;не нужен\не может\не хочет
10902;компания переводится в другое отделение банка по решению головной структуры в связи с отазом в кредитовании эпл даймонд;отказ нет потребности;голов. комп
10903;нет потребности у клиента в валютном счете;отказ нет потребности;не нужен\не может\не хочет
10904;переговоры проведены операции проводятся в емб при условии кредитования;отказ нет потребности;др продукт сб
10905;длительные партнерские отношения с курскпромбанком тарифная политика сбербанка не утраивает отказ;отказ нет потребности;дорогие тарифы
10906;ца открбсчксб это гос учреждение у которого открыт расчетный счет в казначействе по законодательтву рф гос учреждениям запрещено открывать р с в коммерческих банках;отказ нет потребности;казн. + бюджет
10907;клиент обслуживается в втб не готов переходить сбербанк;отказ не лоялен к банку;др банк
10908;счет закрыт г предприятие находится в стадии банкротства;отказ нет потребности;банкротство
10909;иное рко устраивает в сбербанке только эквайринг рко дорого;отказ продукт уже есть;дорогие тарифы
10910;деятельность на стадии закрытия потребность в рко отсутствует;отказ нет потребности; не ведет деятельность
10911;клиент только закрыл сч не получилось пользоваться сббол;отказ нет потребности;счет закрыт
10912;ип деятельность не ведет р с планирует закрывать;отказ нет потребности; не ведет деятельность
10913;клиент закрыл р с поменял место жительства и место ведения деятельности;отказ нет потребности; не ведет деятельность
10914;разговор с александром ивановичем руководитель нуждается в зк но проценты на рынке заставляют отказаться его от кредитов его не устраивают в будущем если произойдет ситуация при которой придется воспользоваться он обратится на данный момент нет потребности как в кредитования а только при нем есть восможность смены рко т к на данный момент его все устраивает;отказ сотруднич с др банком;др продукт сб
10915;проведены переговоры руководитель пояснил р сч открыт в сбербанке и действует но не;отказ нет потребности;счет есть сб
10916;проведены переговоры по рко и кредитовании на даннвй момент ни чего не интересует;отказ нет потребности;не нужен\не может\не хочет
10917;приостановление деятельности р с был в сбербанке в дальнейшем счет закрыт в квартале г;отказ нет потребности; не ведет деятельность
10918;проведение переговоров с клиентом территориально находятся в г белгороде;отказ нет потребности;территориально
10919;отказ клиент обслуживается в бсб банке более лет условия сбербанка не интересны от встречи отказался;отказ нет потребности;отказ
10920;отказ рко сббол клиент облсуживается в осколбанке все нравиться база продуктов возле рынка юбилейный гсл ип суслова давно работают с осколбанком;отказ нет потребности;счет есть сб
10921;клиент ознакомлен с тарифами и услугами сбербанка в настоящее время клиент обслуживается в белгородсоцбанке менять банк не собирается кредитование не интересует;отказ сотруднич с др банком;др банк
10922;проведены переговоры с клеинтопо вопросу обслуживания в сбербанке потребности нет;отказ нет потребности;не нужен\не может\не хочет
10923;клиента устраивает банк в котором обслуживается;отказ нет потребности;др банк
10924;розн торг прод питания к маркса дир мирзоев нураддин сагиб оглы учр ниязов саадат ханкиши оглы есть исп пр во;отказ нет потребности;счет есть
10925;отказ рко у клиента с г;отказ нет потребности;отказ
10926;переговоры с артемом валерьевичем на данный момент открытие счета не актуально;отказ нет потребности;пока
10927;отказ от открытия бесплатного расч счета т к несколько лет назад открывала расч счет в нашем банке клиенту очень не понравилось обслуживание остался негатив;отказ нет потребности;отказ
10928;сотрудничают с другим банком в переходе в сб не видят смысла;отказ нет потребности;др банк
10929;клиент занимается оптовая торговля производственным электрическим и электронным оборудованием включая обо клиент не работает по счету ген дир редко бывает в офисе продуктами банка не пользуется клиент в зоне проблемности;отказ сотруднич с др банком;территориально
10930;переговорили с бухгалтером елена николаевна тел сейчас обслуживаются в бин банке установлен терминал бин банка все устраивает терминал работает исправно отделение банка находится в шаговой доступности менять банк эквайер не будут от встречи отказались;отказ сотруднич с др банком;отказ
10931;имп отказ клиента нет потребности в продукте счет клиента приостановлен по служебной записке комплаенс;отказ нет потребности;не нужен\не может\не хочет
10932;у клиента есть плохой опыт обслуживания в нашем банке сейчас имеет два расчетных счета в разных банках говорит что нет потребности в рко;отказ сотруднич с др банком;счет есть
10933;обслуживается в убрире устраивает цена и качество очень много контрагентов бухгалтерию ведет супруга не хочет перестраиваться менять реквизиты;отказ не устр цена продукта;дорогие тарифы
10934;не интересно отказ сотрудничать с нами;отказ нет потребности;отказ
10935;рко в др банке все устраивает;отказ нет потребности;др банк
10936;см запись от июля г директор подтвердил что они проводили сравнения по тарифам и выиграл минб их всё устраивает переводить обороты и зпк в сбербанк не собираются;отказ сотруднич с др банком;км
10937;клиенту банк менять не удобно ком банк его полностью устраивает;отказ нет потребности;др банк
10938;в альфабанке ип волков одна из компаний холдинга весь холдинг давно обслуживается в альфабанке;отказ нет потребности;др банк
10939;не планируют переходить с сб работают с др банком и все устраивает обслуживание счета у них дешевле;отказ не устр параметры;др банк
10940;в настоящий момент нет необходимости но записали контактные данные чтобы в случае необходимости позвонить;отказ нет потребности;нет контактов
10941;марина александровна нет необходимости в кредите;отказ нет потребности;не нужен\не может\не хочет
10942;ответила юлия гл бух потребности в кредитовании нет в штате человек эквайринг не актуален;отказ нет потребности;не нужен\не может\не хочет
10943;пока потребности в кредитовании нет оставил свои контакты;отказ нет потребности;нет контактов
10944;счет открыт в другом банке менять не планирует какой банк не сказал;отказ нет потребности;др банк
10945;отказ руководство не хочет работать со сбербанком;отказ не лоялен к банку;не лоялен 
10946;компания входит в гк роснефть обслуживаются в своем банке октыртие не интересно;отказ наличие кэптивного банка;др банк
10947;контактное лицо лилия станиславовна категорический отказ рко только в банке выбранном по решению совета директоров в сбербанке была договоренность только на з п проект без открытия р с;отказ наличие кэптивного банка;отказ категорический
10948;от встречи отказались обслуживаются в нескольких комм банках;отказ не лоялен к банку;отказ
10949;отказ не подходит ежемесячное обслуживание не готовы переплачивать;отказ не устр цена продукта;отказ
10950;перезвонить для назначения встречи уезжает в новосибирск;отказ не устр параметры;звонок
10951;работают с др коммерческим банком счет был открыт;отказ сотруднич с др банком;др банк
10952;клиент работает с другим банком обслуживание и тарифы устраиваю в ближайшее время нет оптребности в рко;отказ нет потребности;др банк
10953;на территории г кемерово ведет деятельность нет необходимости открывать счета в др городе;отказ не устр параметры;не нужен\не может\не хочет
10954;у клиента по данной организации уже открыт рсч в хмб наше предложение будет иметь ввиду если понадобится обратится;отказ нет потребности;выполнено
10955;у клиента потребность в открытии р сч будет чуть позже подойдет в банк тел км знает;отказ нет потребности;км
10956;клиент обслуживается в втб переходить не хочет id пр р с основной пр б втб б с с т т т т;отказ нет потребности;др банк
10957;отказ не рассматривают отикр рко в сб устраивают условия стороннего банка полностью;отказ нет потребности;др банк
10958;отказ в данный момнт нет необъходимости менять все устраивает;отказ нет потребности;др банк
10959;не аккредитовывают компанию на выдачу итпотеки негатив к банку;отказ не лоялен к банку;не лоялен 
10960;разговаривала с кульков антон владимирович генеральный директор думает но вряд ли согласится так как в данный момент находится в отъездах;отказ нет потребности;думает
10961;клиенту запрещено иметь расчетный счет в коммерческом банке имеют счет в уфк зарплатный проект на протяжении многих лет находится в уралсиб переход в сбербанк не рассматривают;отказ сотруднич с др банком;казн. + бюджет
