;TEXT;class
24511;клиенту невозможно дозвониться контактные данные не_актуальны сббол направлено сообщение клиенту связи менеджером;нет контактов
24512;общалась виталием данный момент нет_потребности заемных средствах телефон знают потребность наберут;не нужен\не может\не хочет
24513;назначена повторная встреча офисе банка встреча проходить руководителем офиса;встреча
24514;рассматриваем вопрос кредитовании группе запухляк направлено комерческое предложение;не отработана. перенесена
24515;клиентом проведены переговоры совместно менеджером направления клиент занимается поставкой товаров леруа предложено сотрудничество факторингу клиент взял паузу подумать;интересует
24516;клиент несоотв требов банка клиент просрочке кредитам;не соответсвует требованиям
24517;клиента заведено угол дело;не нужен\не может\не хочет
24518;учредитель нерезидент;голов. комп
24519;бухгалтер отказывается решает головная организация находится иркутске;казн. + бюджет
24520;предложен лизинг кредитование эквайринг;др продукт сб
24521;предложен лизинг кредитование эквайринг;др продукт сб
24522;телефон выключен отправлено почту убыток;не отработана. перенесена
24523;нет_связи руководителем продавцы не_передают контакты;нет контактов
24524;направл предлож;интересует
24525;свои деньги;не нужен\не может\не хочет
24526;клиент проинформирован данный момент потребности нет;не нужен\не может\не хочет
24527;справляется кредиты не_берет;не нужен\не может\не хочет
24528;назначена встреча директором;встреча
24529;клиент сообщил планирует расширять автопарк сейчас не_встретиться планирует заехать офис;отказ
24530;кредитовании пока не_нуждаются ведутся переговоры;переговоры
24531;назначен повторный звонок наладить контакт клиентом выяснить причину негатива;звонок
24532;потребность кредите настоящий момент отсутствует действующий залоговый кредит пока не_погашен новый не_рассматривают;не нужен\не может\не хочет
24533;назначена встреча;встреча
24534;отказ нет_потребности;отказ
24535;клиента проблемность просрочки кредит пока не_дадим;не соответсвует требованиям
24536;анастасия хватает собственных денежных средств потребностини кредитовании овердрафте нет_авто приобретать не_планировали;не нужен\не может\не хочет
24537;перег провед не_интересует думать не;не нужен\не может\не хочет
24538;направлено кредитованию зависит курса доллара интересно приобретение оборудования зарубежом;не нужен\не может\не хочет
24539;пока потребности;не нужен\не может\не хочет
24540;пока стараются обойтись кредитов;пока
24541;абдрахманов артур валеевич клиент сбрасывает трубку перезвонить снова;не разговаривают
24542;клиент пройти лояльности условия озвученны контактный;др банк
24543;доведены условия;не отработана. перенесена
24544;организация является дочерней компанией голова москве кредиты оформляются;территориально
24545;лизинг клиента не_интересует;др продукт сб
24546;назначена встреча руководителем утра обсудить вопросы оборота;встреча
24547;клиенту направлено предложение;не отработана. перенесена
24548;не_отвечает звонок;звонок
24549;клиент трудом погашает существующий кредит потребности новом кредите нет;не нужен\не может\не хочет
24550;другой;территориально
24551;оптовая торговля стройматериалами дорожно строительных работ щебень битум песок жёстко сказал кредитование сбербанке точно не_планирует;оптовая торговля
24552;клиент реструкторизации заёмных средствах не_нуждается;реструктуризация
24553;сегодняшний день кредитные ресурсы не_требуются;отказ
24554;клиент отработан рамках поручений выставленных очном заслушивании;надежда есть
24555;мегаполис кредитуется мегаполис строй россельхозбанке отказ;др банк
24556;отказ;отказ
24557;клиент сегмента средний;сегмент
24558;не_тконтактов;не нужен\не может\не хочет
24559;кредит не_нужен эквайринг стоит отказ категорич;отказ категорический
24560;нет_потребности небольшой магазин подарков закупает собственные перспективе доверие повторная встреча конец;встреча
24561;итоге отказались встречи кредитование не_инетерсует;отказ
24562;проведены клиент планирует польностью погасить действующуу закрыть организацию;не ведет деятельность
24563;снижение оборотов нет_потребности кредитование;небольшие обороты
24564;клиентом проведены переговоры кредитование не_интересует;переговоры
24565;потребности кредитовании сегодняшний день нет_озвучены условия овердафтного кредитования встреча дней;не нужен\не может\не хочет
24566;отказ;отказ
24567;клиентка сказала не_предлагайте кредитов относится крайне_негативно слышать кредитовании не_хочет такой ситуацией стране_штанов не_остаться сказал люди области грани нищеты самые низкие зарплаты регионе_выручка упала;не нужен\не может\не хочет
24568;надежда клиент занимается розничной торговлей продукты непродовольственные товары установлен терминал эквайринга не_работает кредитование пока не_интересно возникнет_потребность свяжется;др продукт сб
24569;нет_потребности доходность очень низкая;небольшие обороты
24570;вопросы кредитования банковские гарантии лизинг не_рассматривают;др продукт сб
24571;интерес передам контакт специалисту сбербанк лизинг дальнейшей связи клиентом;нет контактов
24573;брали др_компании данной компании не_планируют отправляют детей отдых транспорта;др банк
24574;кредитоваться ближ время не_планируют пока не_прогасят действующий кредит возможно созвониться марте;звонок
24576;сейчас действующий кредит потребности кредитовании больше нет_компании сотрудникоа выплачивают наличными переходить зарплатный не_хотят отправила контакты сообщением;не нужен\не может\не хочет
24577;татьяна григорьевна потребность покупку оборудования размере салон тайского массажа запросил документы году хорошее состояние назначаем встречу работаем клиентом;не нужен\не может\не хочет
24578;кредиты не_не_устраивает много отказ лизинг не;отказ
24579;кредитование не_интересует клиент привлечен назначена встреча;встреча
24580;флип данный не_действует сдают отчетность соответственно кредит не_акутально;не нужен\не может\не хочет
24581;разговаривала лилией валерьевной кредитование лизинг пока не_интресует потребность свяжутся телефон;не разговаривают
24582;вячеслав данный момент клиента запрошены документы операциям клиент не_прошел овер кассового разрыва предложен оборот;небольшие обороты
24583;клиент не_отыветил звонок звонок повторный счета клиента нет;звонок
24584;викта логистик телефон занимается организацией перевозок грузов кредит бизнес экспресс нет_нет_не_требуется обходится своими средствами не_требуется обходится своими средствами лизинг нет_нет_нанимают транспорт личный менять пока не_планирует иметь виду нет_не_учавствует не_учавствует не_учавствует нет_янв клиент переводит карты сотрудников не_готов заключить причины не_объясняет просто не_хочет нет_не_актуально специфике деятельности не_подходит специфике деятельности не_подходит;не ведет деятельность
24585;кредиты лизинг рассказала не_плохое состояние;не нужен\не может\не хочет
24586;бизнес грузоперевозки настоящий момент кредитование не_требуется участвует госзакупках банковские гарантии оформляет балтинвестбанк гарантия стоит примерно сбербанке калькулятору рейтинге залога поручительства не_интересно;мусор
24587;кредитование больше не_требуется;отказ
24588;договоренность встречу;встреча
24589;клиента нет_потребности кредитовании;не нужен\не может\не хочет
24590;;не нужен\не может\не хочет
24591;пока не_треб;пока
24592;новых кредитов не_планирует брать зарывать;не нужен\не может\не хочет
24593;хотят закрыть счет нашем банке;счет есть сб
24594;клиент покане_планирует брать деньги банке;надежда есть
24595;переговоры проведены клиент находится красной зоне_судебным разбирательствам;черная зона
24596;клиенту направлено предложение потребность;не нужен\не может\не хочет
24597;пред услов думает;интересует
24598;нет_потребности кредитовании ближайшем будущем году не_планируют приобритение транспортных средств;не соответсвует требованиям
24599;направлено предложение трубку телефона берет секретарь организации оставлены контактные данные директор имел возможность перезвонить возникновении потребности выражения;безналичный
24600;потребности кредитовании нет;не нужен\не может\не хочет
24601;назначена повторная встреча кредитованию ожидается ответ клиента предложению;встреча
24602;наст время рейсе чита грузоперевозки выручка деят грузоперевозки водитель наемных водителя клиенту возможно потребуется кредит пополнение оборотных средств назначен повторный звонок;звонок
24603;продукта интересует лизинг не_интересен работает;не нужен\не может\не хочет
24604;продукта интересует лизинг не_интересен работает;не нужен\не может\не хочет
24605;конце позвонить;звонок
24606;понедельник уезжает казань операцию;не нужен\не может\не хочет
24607;потребности нет_клиент не_расположен разговору;не нужен\не может\не хочет
24608;кредитование не_интересно;отказ
24609;нет_потребности кредитовании;не нужен\не может\не хочет
24610;кредитование не_интересно интересно;не нужен\не может\не хочет
24611;много кредитов отказ;отказ
24612;нет_потребности настоящий момент;не нужен\не может\не хочет
24613;клиент находится северной территории невозможно прокредитовать клиента;отказ
24614;кредита;отказ
24615;клиент должен прийти повтрную встречу обсуждения;встреча
24616;текущий момент не_интересует говорит сама не_решает поговорит сотрудниками потребуется сама обратится банк позвонит;обратится сам
24617;разговор константином владимировичем клиента не_интересует кредитование;отказ
24618;группа;группа компаний
24619;большая группа компаний общение говорят средний решение принимает не_пальмер;группа компаний
24620;отправила созваниваемся;не нужен\не может\не хочет
24621;собственными средствами;не нужен\не может\не хочет
24622;нет_потребности;не нужен\не может\не хочет
24623;выявлена потребность лизинге контакты переданы ответственному менеджеру;нет контактов
24624;отказ нет_потребности;отказ
24625;отказ испол ресурсы;отказ
24626;клиент погашает действующий кредит новый пока оформлять не;погашен
24627;кредиты лизинг рассказала не_плохое состояние;не нужен\не может\не хочет
24628;клиента достаточно собственных;не нужен\не может\не хочет
24629;нет_залога;не нужен\не может\не хочет
24630;клиента сложное положение пока кредиты не_нужны;не соответсвует требованиям
24631;большая адолженность лизинг не;не нужен\не может\не хочет
24632;нет_потребности свободные денежные средства возможности размещает депозиты физическое лицо сбербанк премьер;не нужен\не может\не хочет
24633;;не нужен\не может\не хочет
24634;отказ финансирования справляются собств средствами клиент принимает участие аукционах направлено банк гарантиям;др банк
24635;потребности кред нету погашает действующий кредит долговую нагрузку загонять не_хочет;не нужен\не может\не хочет
24636;нет_потребности;не нужен\не может\не хочет
24637;организация стадии банкротства;банкротство
24638;клиенту дважды проводили реструк тяжелое положение;не соответсвует требованиям
24639;клиент входит паномара ритейл кредитуются головные организации не_сегмент;отказ
24640;клиент хочет кредитоваться летом строительство кафе чита;мусор
24641;сеть магазинов поиск кредитование данной организации не_актуально;не ведет деятельность
24642;сейчас проводят работы крыму вернутся августе пригласить повторную встречу готовы рассмотреть повторно;не нужен\не может\не хочет
24643;назначена повторная встреча;встреча
24644;после переговоров клиентом направлено коммерческое предложение назначена повторная встреча;встреча
24645;указан неверный телефон других контактных данных нет;нет контактов
24646;назначена повторная встреча;встреча
24647;пакет;документы
24648;усманов рустам вильданович пояснил текущий момент кредитоваться опасно наоборот возможности частично досрочно закрывает действующий кредит говорит стройки замораживаются связи кризисом поэтому дальше строиться свои;нет контактов
24649;интересно оборотное кредитование сумму около отправлено некоторый негатив компании сбербанку около года назад обращались кредитом нужен кредит оборотные средства месяца сбербанк отказал аргументировав данная сумма срок неинтересны сфера деятельности изделия медицинского назначения компании пластической хирургии эстетической медицины обратная связь клиента лизинг предложен сказал поменял автомобиль эквайринг не_нужен оптовая торговля;не ведет деятельность
24650;интересно оборотное кредитование сумму около отправлено некоторый негатив компании сбербанку около года назад обращались кредитом нужен кредит оборотные средства месяца сбербанк отказал аргументировав данная сумма срок неинтересны сфера деятельности изделия медицинского назначения компании пластической хирургии эстетической медицины обратная связь клиента лизинг предложен сказал поменял автомобиль эквайринг не_нужен оптовая торговля;не ведет деятельность
24651;интересно оборотное кредитование сумму около отправлено некоторый негатив компании сбербанку около года назад обращались кредитом нужен кредит оборотные средства месяца сбербанк отказал аргументировав данная сумма срок неинтересны сфера деятельности изделия медицинского назначения компании пластической хирургии эстетической медицины обратная связь клиента лизинг предложен сказал поменял автомобиль эквайринг не_нужен оптовая торговля;не ведет деятельность
24652;данный момент клиента нет_необходимости кредитных средствах оставлены контактные данные;надежда есть
24653;плохое финансовое положение клиент проводит реструктуризацию действующего договора;не соответсвует требованиям
24654;трактор каматцу;не нужен\не может\не хочет
24655;клиент обратился реструктуризацией долга;реструктуризация
24656;смена;не нужен\не может\не хочет
24657;лизинг оформлен авто оформили другой компании выгоднее предложение кредит интересен не_готовы предоставить либо залог никакого имущества такового компании нет_обратились другой банк могут оформить отправлено предложение контакты;нет контактов
24658;предложено кредитование лизинг уточнение не_интересует;не нужен\не может\не хочет
24659;кредитование пока не_актуально;пока
24660;позвонить начале;звонок
24661;не_планируют использовать заемные средства;не нужен\не может\не хочет
24662;клиент проинформирован;не отработана. перенесена
24663;текущих вопросов нет_кредитование ближайшее время не_рассматривают возникновении вопросов позвонит;надежда есть
24664;указанным телефонам трубку не_берут;не разговаривают
24665;не_устр цена продукта;дорогие тарифы
24666;возможно будущем нужен кредит;надежда есть
24667;кредитование гарантии не_интересует общались другим контакты будут связываться необходимости;нет контактов
24668;заинтересован лизингом отправлено коммерческое контактными данными андрея обухова также возможно приобретение оборудование китая направила информацию кредитованию;не отработана. перенесена
24669;клиентом назначена встреча сегодня обсуждения условий кредитования;встреча
24670;отказ клиента не_нужен кредит лизинг не_рассматривает;отказ
24671;большая выручке группы не_сегмент;не нужен\не может\не хочет
24672;мария юрьевна нет_потребности кредитовании не_используют заемных средств;мусор
24673;потребности не_выявлено сезонность работе назначена встреча подписание документов эквайрингу точки;сезонный бизнес
24674;юридические услуги взыскание долгов штат человека пенсионера не_актуален мизер кредитование илизинг не_рассматривают принципе обороты очень малы;отказ
24675;куликов игорь николаевич дополнительных денежных средствах не_нуждается обходятся собственными иных услугах также нет_потребности;не нужен\не может\не хочет
24676;отказ новых кредитных продуктах нет_потребности скорее всего будут планы кредитованию середине_необходимости обратятся;отказ
24677;звонок клиентом киреева татьяна владимировна должность руководитель место встречи офис банка телефон клиента повод активности продажа некредитных продуктов предложено зарплатный проект корпоративная карта требуется повторный звонок дата повторного звонка;звонок
24678;лизинг неактуален клиентов;не нужен\не может\не хочет
24679;нет_потребности;не нужен\не может\не хочет
24680;ранее отказ кредитованию;отказ
24681;данному продукту не_кредитуем;счет есть
24682;соглдасовать время визита цель встречи овердрафт;отказ
24683;данный момент нет_потребности кредитование полученную информацию будут иметь виду;пока
24684;консультация продукту;не отработана. перенесена
24685;обечпечение собственными средствами;не нужен\не может\не хочет
24686;организация закрывается;не ведет деятельность
24687;клиент не_заинтересован;отказ
24688;счет открыт другом подразделении банка поставлена задача перезакреплению;др банк
24689;не_отработана сроки;не нужен\не может\не хочет
24690;достаточно собственных средств ведения бизнеса;не нужен\не может\не хочет
24691;своими;не нужен\не может\не хочет
24692;не_пользуются заемными средствами деятельность связана услугами части уборки помещений;не нужен\не может\не хочет
24693;клиентом проводилась встреча клиенту не_требуется кредитование лизинг пока не_интересен клиента заинтересовал факторинг;не нужен\не может\не хочет
24694;клиент взял марте кредит физическое лицо данные момент потребности нет;фл
24695;приедут консультацию лизингу;не нужен\не может\не хочет
24696;клиент заинтересован назначена встреча;встреча
24697;информация принята сведению кредитные средства данный момент не_нужны хватает своих;не отработана. перенесена
24698;нет_потребности кредитвании лизинге;др продукт сб
24699;коммандировке;нет на месте
24700;клиент принципиально не_пользуется кредитными продуктами;отказ
24701;кредит платят просрочками;есть кредит
24702;анисимова мария михайловна направил комм пред;мусор
24703;настоящее время нет_потребности кредитовании;не нужен\не может\не хочет
24704;екатерина юрьевна клиенту предложила кредитование сказала интересно не_срочно перспективу также рассказала лизинг екатерина сказала хочет ознакомиться подробнее нашим предложением попросила отправить почту ekaterinamail yandex;мусор
24705;нскм кредитование евгений оптово розн торговля одеждой обувью клиент обращался кредитом апреле предоставлена отчетность промежуточная отчетность убыточная кредитование не_возможно;не соответсвует требованиям
24706;отказ данный момент потребности кредите нет_обращались банк овердрафтом отказ пока кредит не_нужен;отказ
24707;роман александрович данному виду деят предложение не_подходит;не ведет деятельность
24708;назначена встреча назначена встреча повторном звонке клиент отказался не_считает целесообразным не_комментирует;встреча
24709;боле подробного обсуждения деталей клиент приглашен банк;приглашение в банк
24710;не_отработана сроки;не нужен\не может\не хочет
24711;очень большая очень много документов суммы просчитваются небольшие учавствуют тендерах кредитование не_интересует гарантиями не_пользуются суммы маленькие;небольшие обороты
24712;отказ клиента нет_потребности продукте клиент не_учавствует торгах тендерах не_рассматривают общался бухгалтером ириной;отказ
24713;указанному отвечают зовут не_отношения организации не_имеют;не ответили
24714;отказ нет_потребности;отказ
24715;не_согласны;не нужен\не может\не хочет
24717;клиента имеются собственные средства нет_потребности;не нужен\не может\не хочет
24718;интересна работа ранее обращались отказались необходимости предоставить данные управленческой отчетности;не нужен\не может\не хочет
24719;кредиты овердрафт данный момент не_интересует хватает собственных денежных средств;не нужен\не может\не хочет
24720;не_пользуются кредитами отказ услуги;отказ
24721;данный момент нет_потребности продукте назначены переговоры встреча звонок интересует лизинг;безналичный
24722;регулярно размещают депозиты кредитование неинтересно лизинга отказались;не нужен\не может\не хочет
24723;не_устраивает размер процентной ставки согласны кредит не_более согласно ранее утвержденного рейтинга кредитование таких условия не_возможно;клиент согласен на
24724;явной потребности нет_придумает обратится контакты;нет контактов
24725;клиент не_нуждается кредитных продуктах;не нужен\не может\не хочет
24726;дркуго;не нужен\не может\не хочет
24727;потребности финансировании нет_пытаются собствественными стредствами обходиться возникнет_потребность позвонят;не нужен\не может\не хочет
24728;не_отработана сроки;не нужен\не может\не хочет
24729;встреча;встреча
24730;выслан пакет документов оборот;документы
24731;текущий момент нет_потребности;пока
24732;кредитуются россельхоз банке;др банк
24733;убыточная официальная отчетность;приглашение в банк
24734;рвсп кредитование лизинг не_интересны входят занимающиеся строительством деньги берут общего оборота текущий момент технику приобретать не_планируют;пока
24735;отказ банка кредитования данного клиента;отказ
24736;бывший проблемный клиент кредитованию;не соответсвует требованиям
24737;клиент отказался;отказ
24738;не;не нужен\не может\не хочет
24739;клиент приедет получения консультации офис банка;надежда есть
24740;кредит не_интересует;есть кредит
24741;;не нужен\не может\не хочет
24742;отказ нет_потребности;отказ
24743;клиент не_кредитуется лизинг также не_интересен;др продукт сб
24744;диреткор сейчас руслан веденеев бывший директор никто руслана даннй связи не_доступен;мусор
24745;совершен телефонный звонок договоренность встрече;отказ
24746;ранее брал кредиты сейчас нет_месте;не нужен\не может\не хочет
24747;не_отработана сроки;не нужен\не может\не хочет
24748;клиент другого связаться клиентом не_удалось;др банк
24749;данный момент вопрос не_аткуален знают своего будут звонить необходимости;отказ
24750;нет_потребности направлено коммерческое предложение оставлены контакты связи;не отработана. перенесена
24751;нет_желания;не нужен\не может\не хочет
24752;получен отказ причины клиента нет_потребности продукте проведены переговоры клиента нет_потребности кредитовании клиент справляется собственными средствами;отказ
24753;не_отработана сроки;не нужен\не может\не хочет
24754;наталия георгиевна издательская деятельность работают контрактам обеспечивают своими деньгами;не ведет деятельность
24755;не_отработана сроки;не нужен\не может\не хочет
24756;не_отработана сроки;не нужен\не может\не хочет
24757;клиент отказался кредита;отказ
24758;обсуждение преимуществ продукта;надежда есть
24759;данный момент предложение неактуально;пока
24760;приедет консультацию;надежда есть
24761;не_отвечает;не нужен\не может\не хочет
24762;клиент покане_планирует брать деньги банке;надежда есть
24763;не_интересно;не нужен\не может\не хочет
24764;денис анатольевич кредитование не_требуется;мусор
24765;отправлено коммерческое предложение кредитным продуктам банка назначена встреча;встреча
24766;отказ необходимости обратятся банк;др банк
24767;ближайшее время нет_потребности кредитовании;не нужен\не может\не хочет
24768;маргарита сейчас не_планируется участие конкурсах работали работали другими банками банк нет_потребности кредитовании также;др банк
24769;данный момент интерес лизингу отсутствует презентация проведена необходимости обратятся банк;не нужен\не может\не хочет
24770;пользуется своими средствами;не нужен\не может\не хочет
24771;категорический отказ;отказ категорический
24772;достигнута договоренность клиентом;надежда есть
24773;клиент не_нуждается кредитовании;не нужен\не может\не хочет
24774;отказ привлекать кредитные средства не_планируют работают счет собственных оборотов;отказ
24775;телефон не_отвечает назначен повторный звонок другой организации;звонок
24776;нет_потребности заемных средствах;не нужен\не может\не хочет
24777;клиент;отказ
24778;;не нужен\не может\не хочет
24779;наталья кредит сейчас не_нужнго спасибо информацию;не нужен\не может\не хочет
24780;отказ нет_потребности;отказ
24781;отказ деятельности не_треуется не_актуальна покупка;не ведет деятельность
24782;отказ лизинг клиент пока не_заинтересован;отказ
24783;пока формоза обходятся своими средствами;не нужен\не может\не хочет
24784;назначена встреча;встреча
24785;не_отработана сроки;не нужен\не может\не хочет
24786;руководитель командировке договорились встречу возвращению;нет на месте
24787;назначен звонок;звонок
24788;неверные контакты;нет контактов
24789;ресторан пашмир не_нужно отвечает всегда бухгалтер подписании живую директора не_видел фамилия директора миниханова;не ответили
24790;потребность не_выявлена отказ;отказ
24791;директор сказал не_кредитование не_лизинг не_интересуют;не нужен\не может\не хочет
24793;деятельность алмазная резка проемов договорная конкурсах не_учавствуетв группе крупным бизнесом магаданская золотодобывающая компании кредит выйдет выручки интересен лизинг позвонить заполнить предзаявку нужен грузовичок;звонок
24794;клиент не_лоялен банку обслуживается росевробанк;др банк
24795;настоящий момент нет_потрребности кредитовании;не нужен\не может\не хочет
24796;назначен повторный звонок;звонок
24797;клиенту направлено предложение сегодняшний день потребности кредитовании нет;не нужен\не может\не хочет
24798;назначена встреча;встреча
24799;клиент отказазлся кредитовании пока нет_потребности;отказ
24800;предприятие ликвидировано;ликвидация
24801;не_берет перезвонить назначить встречу;встреча
24802;назначен звонок;звонок
24803;назначена встреча руководителем офиса;встреча
24804;отказ лизинг подумает перезвонить конце;интересует
